 Hz,A/m,Oe
        236.40000000,         54.16100188,           .68060724
        236.80000000,         54.06954206,           .67945792
        237.20000000,         53.97839056,           .67831248
        237.60000000,         53.88754583,           .67717089
        238.00000000,         53.79700631,           .67603314
        238.40000000,         53.70677048,           .67489920
        238.80000000,         53.61683681,           .67376906
        239.20000000,         53.52720379,           .67264270
        239.60000000,         53.43786990,           .67152010
        240.00000000,         53.34883366,           .67040123
        240.40000000,         53.26009357,           .66928609
        240.80000000,         53.17164818,           .66817466
        241.20000000,         53.08349600,           .66706690
        241.60000000,         52.99563558,           .66596282
        242.00000000,         52.90806549,           .66486238
        242.40000000,         52.82078428,           .66376557
        242.80000000,         52.73379052,           .66267237
        243.20000000,         52.64708280,           .66158277
        243.60000000,         52.56065970,           .66049675
        244.00000000,         52.47451984,           .65941428
        244.40000000,         52.38866182,           .65833536
        244.80000000,         52.30308426,           .65725996
        245.20000000,         52.21778579,           .65618807
        245.60000000,         52.13276504,           .65511966
        246.00000000,         52.04802066,           .65405474
        246.40000000,         51.96355131,           .65299326
        246.80000000,         51.87935564,           .65193523
        247.20000000,         51.79543234,           .65088062
        247.60000000,         51.71178008,           .64982941
        248.00000000,         51.62839756,           .64878160
        248.40000000,         51.54528346,           .64773715
        248.80000000,         51.46243649,           .64669607
        249.20000000,         51.37985538,           .64565832
        249.60000000,         51.29753884,           .64462390
        250.00000000,         51.21548560,           .64359279
        250.40000000,         51.13369441,           .64256497
        250.80000000,         51.05216400,           .64154043
        251.20000000,         50.97089313,           .64051915
        251.60000000,         50.88988058,           .63950112
        252.00000000,         50.80912510,           .63848631
        252.40000000,         50.72862547,           .63747473
        252.80000000,         50.64838049,           .63646634
        253.20000000,         50.56838894,           .63546113
        253.60000000,         50.48864963,           .63445910
        254.00000000,         50.40916136,           .63346022
        254.40000000,         50.32992296,           .63246448
        254.80000000,         50.25093324,           .63147187
        255.20000000,         50.17219105,           .63048236
        255.60000000,         50.09369520,           .62949596
        256.00000000,         50.01544456,           .62851263
        256.40000000,         49.93743797,           .62753237
        256.80000000,         49.85967430,           .62655516
        257.20000000,         49.78215241,           .62558099
        257.60000000,         49.70487118,           .62460985
        258.00000000,         49.62782949,           .62364172
        258.40000000,         49.55102622,           .62267658
        258.80000000,         49.47446027,           .62171442
        259.20000000,         49.39813055,           .62075523
        259.60000000,         49.32203595,           .61979900
        260.00000000,         49.24617541,           .61884571
        260.40000000,         49.17054783,           .61789534
        260.80000000,         49.09515215,           .61694789
        261.20000000,         49.01998730,           .61600335
        261.60000000,         48.94505223,           .61506168
        262.00000000,         48.87034588,           .61412290
        262.40000000,         48.79586720,           .61318697
        262.80000000,         48.72161517,           .61225389
        263.20000000,         48.64758874,           .61132365
        263.60000000,         48.57378688,           .61039623
        264.00000000,         48.50020859,           .60947161
        264.40000000,         48.42685284,           .60854980
        264.80000000,         48.35371863,           .60763077
        265.20000000,         48.28080495,           .60671451
        265.60000000,         48.20811080,           .60580100
        266.00000000,         48.13563521,           .60489025
        266.40000000,         48.06337718,           .60398223
        266.80000000,         47.99133574,           .60307693
        267.20000000,         47.91950991,           .60217434
        267.60000000,         47.84789873,           .60127445
        268.00000000,         47.77650124,           .60037724
        268.40000000,         47.70531648,           .59948270
        268.80000000,         47.63434350,           .59859083
        269.20000000,         47.56358136,           .59770161
        269.60000000,         47.49302912,           .59681502
