 Hz,vind,vres
        107.80000000,          2.92112348,         14.85227411
        108.00000000,          2.92133256,         14.87982935
        108.20000000,          2.92154053,         14.90738459
        108.40000000,          2.92174739,         14.93493983
        108.60000000,          2.92195316,         14.96249507
        108.80000000,          2.92215783,         14.99005031
        109.00000000,          2.92236142,         15.01760554
        109.20000000,          2.92256393,         15.04516078
        109.40000000,          2.92276538,         15.07271602
        109.60000000,          2.92296576,         15.10027126
        109.80000000,          2.92316509,         15.12782650
        110.00000000,          2.92336338,         15.15538174
        110.20000000,          2.92356063,         15.18293698
        110.40000000,          2.92375685,         15.21049222
        110.60000000,          2.92395204,         15.23804746
        110.80000000,          2.92414621,         15.26560270
        111.00000000,          2.92433938,         15.29315794
        111.20000000,          2.92453154,         15.32071318
        111.40000000,          2.92472270,         15.34826842
        111.60000000,          2.92491288,         15.37582366
        111.80000000,          2.92510207,         15.40337890
        112.00000000,          2.92529029,         15.43093414
        112.20000000,          2.92547754,         15.45848938
        112.40000000,          2.92566382,         15.48604462
        112.60000000,          2.92584915,         15.51359986
        112.80000000,          2.92603352,         15.54115510
        113.00000000,          2.92621696,         15.56871034
        113.20000000,          2.92639945,         15.59626558
        113.40000000,          2.92658102,         15.62382081
        113.60000000,          2.92676166,         15.65137605
        113.80000000,          2.92694138,         15.67893129
        114.00000000,          2.92712019,         15.70648653
        114.20000000,          2.92729810,         15.73404177
        114.40000000,          2.92747510,         15.76159701
        114.60000000,          2.92765121,         15.78915225
        114.80000000,          2.92782643,         15.81670749
        115.00000000,          2.92800077,         15.84426273
        115.20000000,          2.92817424,         15.87181797
        115.40000000,          2.92834683,         15.89937321
        115.60000000,          2.92851856,         15.92692845
        115.80000000,          2.92868943,         15.95448369
        116.00000000,          2.92885945,         15.98203893
        116.20000000,          2.92902861,         16.00959417
        116.40000000,          2.92919694,         16.03714941
        116.60000000,          2.92936443,         16.06470465
        116.80000000,          2.92953109,         16.09225989
        117.00000000,          2.92969692,         16.11981513
        117.20000000,          2.92986193,         16.14737037
        117.40000000,          2.93002613,         16.17492561
        117.60000000,          2.93018952,         16.20248084
        117.80000000,          2.93035210,         16.23003608
        118.00000000,          2.93051388,         16.25759132
        118.20000000,          2.93067488,         16.28514656
        118.40000000,          2.93083508,         16.31270180
        118.60000000,          2.93099449,         16.34025704
        118.80000000,          2.93115313,         16.36781228
        119.00000000,          2.93131100,         16.39536752
        119.20000000,          2.93146810,         16.42292276
        119.40000000,          2.93162443,         16.45047800
        119.60000000,          2.93178000,         16.47803324
        119.80000000,          2.93193482,         16.50558848
        120.00000000,          2.93208890,         16.53314372
        120.20000000,          2.93224222,         16.56069896
        120.40000000,          2.93239481,         16.58825420
        120.60000000,          2.93254666,         16.61580944
        120.80000000,          2.93269778,         16.64336468
        121.00000000,          2.93284818,         16.67091992
        121.20000000,          2.93299786,         16.69847516
        121.40000000,          2.93314682,         16.72603040
        121.60000000,          2.93329506,         16.75358564
        121.80000000,          2.93344260,         16.78114087
        122.00000000,          2.93358944,         16.80869611
        122.20000000,          2.93373558,         16.83625135
        122.40000000,          2.93388103,         16.86380659
        122.60000000,          2.93402578,         16.89136183
        122.80000000,          2.93416985,         16.91891707
        123.00000000,          2.93431324,         16.94647231
        123.20000000,          2.93445595,         16.97402755
        123.40000000,          2.93459799,         17.00158279
        123.60000000,          2.93473936,         17.02913803
        123.80000000,          2.93488007,         17.05669327
        124.00000000,          2.93502011,         17.08424851
        124.20000000,          2.93515950,         17.11180375
        124.40000000,          2.93529824,         17.13935899
        124.60000000,          2.93543633,         17.16691423
        124.80000000,          2.93557377,         17.19446947
        125.00000000,          2.93571058,         17.22202471
        125.20000000,          2.93584675,         17.24957995
        125.40000000,          2.93598229,         17.27713519
        125.60000000,          2.93611720,         17.30469043
        125.80000000,          2.93625148,         17.33224567
        126.00000000,          2.93638514,         17.35980091
        126.20000000,          2.93651819,         17.38735614
        126.40000000,          2.93665063,         17.41491138
        126.60000000,          2.93678245,         17.44246662
        126.80000000,          2.93691367,         17.47002186
        127.00000000,          2.93704429,         17.49757710
        127.20000000,          2.93717431,         17.52513234
        127.40000000,          2.93730373,         17.55268758
        127.60000000,          2.93743256,         17.58024282
        127.80000000,          2.93756081,         17.60779806
        128.00000000,          2.93768847,         17.63535330
        128.20000000,          2.93781555,         17.66290854
        128.40000000,          2.93794205,         17.69046378
        128.60000000,          2.93806798,         17.71801902
        128.80000000,          2.93819334,         17.74557426
        129.00000000,          2.93831814,         17.77312950
        129.20000000,          2.93844237,         17.80068474
        129.40000000,          2.93856604,         17.82823998
        129.60000000,          2.93868915,         17.85579522
        129.80000000,          2.93881171,         17.88335046
        130.00000000,          2.93893372,         17.91090570
        130.20000000,          2.93905519,         17.93846094
        130.40000000,          2.93917611,         17.96601617
        130.60000000,          2.93929649,         17.99357141
        130.80000000,          2.93941633,         18.02112665
        131.00000000,          2.93953564,         18.04868189
        131.20000000,          2.93965442,         18.07623713
        131.40000000,          2.93977267,         18.10379237
        131.60000000,          2.93989039,         18.13134761
        131.80000000,          2.94000760,         18.15890285
        132.00000000,          2.94012428,         18.18645809
        132.20000000,          2.94024045,         18.21401333
        132.40000000,          2.94035611,         18.24156857
        132.60000000,          2.94047126,         18.26912381
        132.80000000,          2.94058590,         18.29667905
        133.00000000,          2.94070004,         18.32423429
        133.20000000,          2.94081368,         18.35178953
