 Hz,A
        590.00000000,           .43952139
        591.00000000,           .43877869
        592.00000000,           .43803850
        593.00000000,           .43730080
        594.00000000,           .43656558
        595.00000000,           .43583283
        596.00000000,           .43510252
        597.00000000,           .43437467
        598.00000000,           .43364924
        599.00000000,           .43292622
        600.00000000,           .43220562
        601.00000000,           .43148740
        602.00000000,           .43077157
        603.00000000,           .43005811
        604.00000000,           .42934700
        605.00000000,           .42863825
        606.00000000,           .42793182
        607.00000000,           .42722772
        608.00000000,           .42652593
        609.00000000,           .42582644
        610.00000000,           .42512925
        611.00000000,           .42443432
        612.00000000,           .42374167
        613.00000000,           .42305127
        614.00000000,           .42236312
        615.00000000,           .42167720
        616.00000000,           .42099350
        617.00000000,           .42031201
        618.00000000,           .41963273
        619.00000000,           .41895563
        620.00000000,           .41828072
        621.00000000,           .41760798
        622.00000000,           .41693739
        623.00000000,           .41626896
        624.00000000,           .41560266
        625.00000000,           .41493849
        626.00000000,           .41427644
        627.00000000,           .41361650
        628.00000000,           .41295866
        629.00000000,           .41230290
        630.00000000,           .41164922
        631.00000000,           .41099761
        632.00000000,           .41034806
        633.00000000,           .40970056
        634.00000000,           .40905509
        635.00000000,           .40841166
        636.00000000,           .40777024
        637.00000000,           .40713084
        638.00000000,           .40649344
        639.00000000,           .40585802
        640.00000000,           .40522459
        641.00000000,           .40459314
        642.00000000,           .40396365
        643.00000000,           .40333611
        644.00000000,           .40271052
        645.00000000,           .40208686
        646.00000000,           .40146513
        647.00000000,           .40084532
        648.00000000,           .40022742
        649.00000000,           .39961142
        650.00000000,           .39899732
        651.00000000,           .39838509
        652.00000000,           .39777475
        653.00000000,           .39716626
        654.00000000,           .39655964
        655.00000000,           .39595486
        656.00000000,           .39535193
        657.00000000,           .39475083
        658.00000000,           .39415155
        659.00000000,           .39355409
        660.00000000,           .39295843
        661.00000000,           .39236458
        662.00000000,           .39177252
        663.00000000,           .39118224
        664.00000000,           .39059373
        665.00000000,           .39000699
        666.00000000,           .38942201
        667.00000000,           .38883879
        668.00000000,           .38825730
        669.00000000,           .38767755
        670.00000000,           .38709953
        671.00000000,           .38652323
        672.00000000,           .38594864
        673.00000000,           .38537576
        674.00000000,           .38480458
        675.00000000,           .38423508
        676.00000000,           .38366727
        677.00000000,           .38310113
        678.00000000,           .38253666
        679.00000000,           .38197385
        680.00000000,           .38141269
        681.00000000,           .38085317
        682.00000000,           .38029530
        683.00000000,           .37973906
        684.00000000,           .37918444
        685.00000000,           .37863143
        686.00000000,           .37808004
        687.00000000,           .37753025
        688.00000000,           .37698206
        689.00000000,           .37643545
        690.00000000,           .37589043
        691.00000000,           .37534698
        692.00000000,           .37480510
        693.00000000,           .37426479
        694.00000000,           .37372602
        695.00000000,           .37318881
        696.00000000,           .37265313
        697.00000000,           .37211900
        698.00000000,           .37158639
        699.00000000,           .37105530
        700.00000000,           .37052572
        701.00000000,           .36999766
        702.00000000,           .36947110
        703.00000000,           .36894603
        704.00000000,           .36842245
        705.00000000,           .36790036
        706.00000000,           .36737974
        707.00000000,           .36686060
        708.00000000,           .36634292
        709.00000000,           .36582669
        710.00000000,           .36531192
        711.00000000,           .36479860
        712.00000000,           .36428671
        713.00000000,           .36377626
        714.00000000,           .36326724
        715.00000000,           .36275964
        716.00000000,           .36225345
        717.00000000,           .36174868
        718.00000000,           .36124530
        719.00000000,           .36074333
        720.00000000,           .36024275
        721.00000000,           .35974356
        722.00000000,           .35924574
        723.00000000,           .35874931
        724.00000000,           .35825424
        725.00000000,           .35776053
        726.00000000,           .35726819
        727.00000000,           .35677719
        728.00000000,           .35628755
        729.00000000,           .35579924
        730.00000000,           .35531227
        731.00000000,           .35482664
        732.00000000,           .35434232
        733.00000000,           .35385933
        734.00000000,           .35337765
        735.00000000,           .35289728
        736.00000000,           .35241822
        737.00000000,           .35194045
        738.00000000,           .35146397
        739.00000000,           .35098879
        740.00000000,           .35051488
        741.00000000,           .35004226
        742.00000000,           .34957090
        743.00000000,           .34910081
        744.00000000,           .34863199
        745.00000000,           .34816442
        746.00000000,           .34769810
        747.00000000,           .34723303
        748.00000000,           .34676921
        749.00000000,           .34630662
        750.00000000,           .34584526
        751.00000000,           .34538513
        752.00000000,           .34492622
        753.00000000,           .34446853
        754.00000000,           .34401205
        755.00000000,           .34355678
        756.00000000,           .34310271
        757.00000000,           .34264984
        758.00000000,           .34219816
        759.00000000,           .34174767
        760.00000000,           .34129837
        761.00000000,           .34085024
        762.00000000,           .34040329
        763.00000000,           .33995751
        764.00000000,           .33951290
        765.00000000,           .33906945
        766.00000000,           .33862715
        767.00000000,           .33818601
        768.00000000,           .33774601
        769.00000000,           .33730715
        770.00000000,           .33686944
        771.00000000,           .33643286
        772.00000000,           .33599740
        773.00000000,           .33556308
        774.00000000,           .33512987
        775.00000000,           .33469778
        776.00000000,           .33426681
        777.00000000,           .33383694
        778.00000000,           .33340817
        779.00000000,           .33298051
        780.00000000,           .33255394
        781.00000000,           .33212846
        782.00000000,           .33170407
        783.00000000,           .33128076
        784.00000000,           .33085853
        785.00000000,           .33043737
        786.00000000,           .33001729
        787.00000000,           .32959827
        788.00000000,           .32918031
        789.00000000,           .32876341
        790.00000000,           .32834757
        791.00000000,           .32793277
        792.00000000,           .32751902
        793.00000000,           .32710632
        794.00000000,           .32669465
        795.00000000,           .32628402
        796.00000000,           .32587442
        797.00000000,           .32546584
        798.00000000,           .32505829
        799.00000000,           .32465176
        800.00000000,           .32424624
        801.00000000,           .32384173
        802.00000000,           .32343823
        803.00000000,           .32303574
        804.00000000,           .32263424
        805.00000000,           .32223374
        806.00000000,           .32183424
        807.00000000,           .32143572
        808.00000000,           .32103819
        809.00000000,           .32064164
        810.00000000,           .32024607
        811.00000000,           .31985147
        812.00000000,           .31945784
        813.00000000,           .31906518
        814.00000000,           .31867349
        815.00000000,           .31828275
        816.00000000,           .31789297
        817.00000000,           .31750415
        818.00000000,           .31711627
        819.00000000,           .31672934
        820.00000000,           .31634336
        821.00000000,           .31595831
        822.00000000,           .31557420
