 Hertz,Farad,V across C
        459.90820000,           .00000651,        638.04325669
        460.90800000,           .00000648,        639.43030665
        461.90780000,           .00000645,        640.81735660
        462.90760000,           .00000642,        642.20440656
        463.90740000,           .00000640,        643.59145651
        464.90720000,           .00000637,        644.97850647
        465.90700000,           .00000634,        646.36555642
        466.90680000,           .00000631,        647.75260638
        467.90660000,           .00000629,        649.13965633
        468.90640000,           .00000626,        650.52670629
        469.90620000,           .00000623,        651.91375624
        470.90600000,           .00000621,        653.30080620
        471.90580000,           .00000618,        654.68785615
        472.90560000,           .00000616,        656.07490611
        473.90540000,           .00000613,        657.46195606
        474.90520000,           .00000610,        658.84900602
        475.90500000,           .00000608,        660.23605597
        476.90480000,           .00000605,        661.62310592
        477.90460000,           .00000603,        663.01015588
        478.90440000,           .00000600,        664.39720583
        479.90420000,           .00000598,        665.78425579
        480.90400000,           .00000595,        667.17130574
        481.90380000,           .00000593,        668.55835570
        482.90360000,           .00000590,        669.94540565
        483.90340000,           .00000588,        671.33245561
        484.90320000,           .00000585,        672.71950556
        485.90300000,           .00000583,        674.10655552
        486.90280000,           .00000581,        675.49360547
        487.90260000,           .00000578,        676.88065543
        488.90240000,           .00000576,        678.26770538
        489.90220000,           .00000574,        679.65475534
        490.90200000,           .00000571,        681.04180529
        491.90180000,           .00000569,        682.42885525
        492.90160000,           .00000567,        683.81590520
        493.90140000,           .00000564,        685.20295516
        494.90120000,           .00000562,        686.59000511
        495.90100000,           .00000560,        687.97705507
        496.90080000,           .00000558,        689.36410502
        497.90060000,           .00000555,        690.75115498
        498.90040000,           .00000553,        692.13820493
        499.90020000,           .00000551,        693.52525489
        500.90000000,           .00000549,        694.91230484
        501.89980000,           .00000546,        696.29935480
        502.89960000,           .00000544,        697.68640475
        503.89940000,           .00000542,        699.07345471
        504.89920000,           .00000540,        700.46050466
        505.89900000,           .00000538,        701.84755462
        506.89880000,           .00000536,        703.23460457
        507.89860000,           .00000534,        704.62165453
        508.89840000,           .00000532,        706.00870448
        509.89820000,           .00000529,        707.39575443
        510.89800000,           .00000527,        708.78280439
        511.89780000,           .00000525,        710.16985434
        512.89760000,           .00000523,        711.55690430
        513.89740000,           .00000521,        712.94395425
        514.89720000,           .00000519,        714.33100421
        515.89700000,           .00000517,        715.71805416
        516.89680000,           .00000515,        717.10510412
        517.89660000,           .00000513,        718.49215407
        518.89640000,           .00000511,        719.87920403
        519.89620000,           .00000509,        721.26625398
        520.89600000,           .00000507,        722.65330394
        521.89580000,           .00000505,        724.04035389
        522.89560000,           .00000503,        725.42740385
        523.89540000,           .00000502,        726.81445380
        524.89520000,           .00000500,        728.20150376
        525.89500000,           .00000498,        729.58855371
        526.89480000,           .00000496,        730.97560367
        527.89460000,           .00000494,        732.36265362
        528.89440000,           .00000492,        733.74970358
        529.89420000,           .00000490,        735.13675353
        530.89400000,           .00000488,        736.52380349
        531.89380000,           .00000487,        737.91085344
        532.89360000,           .00000485,        739.29790340
        533.89340000,           .00000483,        740.68495335
        534.89320000,           .00000481,        742.07200331
        535.89300000,           .00000479,        743.45905326
        536.89280000,           .00000478,        744.84610322
        537.89260000,           .00000476,        746.23315317
        538.89240000,           .00000474,        747.62020313
        539.89220000,           .00000472,        749.00725308
        540.89200000,           .00000471,        750.39430303
        541.89180000,           .00000469,        751.78135299
        542.89160000,           .00000467,        753.16840294
        543.89140000,           .00000465,        754.55545290
        544.89120000,           .00000464,        755.94250285
        545.89100000,           .00000462,        757.32955281
        546.89080000,           .00000460,        758.71660276
        547.89060000,           .00000459,        760.10365272
        548.89040000,           .00000457,        761.49070267
        549.89020000,           .00000455,        762.87775263
        550.89000000,           .00000454,        764.26480258
        551.88980000,           .00000452,        765.65185254
        552.88960000,           .00000450,        767.03890249
        553.88940000,           .00000449,        768.42595245
        554.88920000,           .00000447,        769.81300240
        555.88900000,           .00000445,        771.20005236
        556.88880000,           .00000444,        772.58710231
        557.88860000,           .00000442,        773.97415227
        558.88840000,           .00000441,        775.36120222
        559.88820000,           .00000439,        776.74825218
        560.88800000,           .00000438,        778.13530213
        561.88780000,           .00000436,        779.52235209
        562.88760000,           .00000434,        780.90940204
        563.88740000,           .00000433,        782.29645200
        564.88720000,           .00000431,        783.68350195
        565.88700000,           .00000430,        785.07055191
        566.88680000,           .00000428,        786.45760186
        567.88660000,           .00000427,        787.84465182
        568.88640000,           .00000425,        789.23170177
        569.88620000,           .00000424,        790.61875173
        570.88600000,           .00000422,        792.00580168
        571.88580000,           .00000421,        793.39285163
        572.88560000,           .00000419,        794.77990159
        573.88540000,           .00000418,        796.16695154
        574.88520000,           .00000417,        797.55400150
        575.88500000,           .00000415,        798.94105145
        576.88480000,           .00000414,        800.32810141
        577.88460000,           .00000412,        801.71515136
        578.88440000,           .00000411,        803.10220132
        579.88420000,           .00000409,        804.48925127
        580.88400000,           .00000408,        805.87630123
        581.88380000,           .00000407,        807.26335118
        582.88360000,           .00000405,        808.65040114
        583.88340000,           .00000404,        810.03745109
        584.88320000,           .00000402,        811.42450105
        585.88300000,           .00000401,        812.81155100
        586.88280000,           .00000400,        814.19860096
        587.88260000,           .00000398,        815.58565091
        588.88240000,           .00000397,        816.97270087
        589.88220000,           .00000396,        818.35975082
        590.88200000,           .00000394,        819.74680078
        591.88180000,           .00000393,        821.13385073
        592.88160000,           .00000392,        822.52090069
        593.88140000,           .00000390,        823.90795064
        594.88120000,           .00000389,        825.29500060
        595.88100000,           .00000388,        826.68205055
        596.88080000,           .00000386,        828.06910051
        597.88060000,           .00000385,        829.45615046
        598.88040000,           .00000384,        830.84320042
        599.88020000,           .00000383,        832.23025037
        600.88000000,           .00000381,        833.61730033
        601.87980000,           .00000380,        835.00435028
        602.87960000,           .00000379,        836.39140023
        603.87940000,           .00000378,        837.77845019
        604.87920000,           .00000376,        839.16550014
        605.87900000,           .00000375,        840.55255010
        606.87880000,           .00000374,        841.93960005
        607.87860000,           .00000373,        843.32665001
        608.87840000,           .00000371,        844.71369996
        609.87820000,           .00000370,        846.10074992
        610.87800000,           .00000369,        847.48779987
        611.87780000,           .00000368,        848.87484983
        612.87760000,           .00000367,        850.26189978
        613.87740000,           .00000365,        851.64894974
        614.87720000,           .00000364,        853.03599969
        615.87700000,           .00000363,        854.42304965
        616.87680000,           .00000362,        855.81009960
        617.87660000,           .00000361,        857.19714956
        618.87640000,           .00000359,        858.58419951
        619.87620000,           .00000358,        859.97124947
        620.87600000,           .00000357,        861.35829942
        621.87580000,           .00000356,        862.74534938
        622.87560000,           .00000355,        864.13239933
        623.87540000,           .00000354,        865.51944929
        624.87520000,           .00000353,        866.90649924
        625.87500000,           .00000351,        868.29354920
        626.87480000,           .00000350,        869.68059915
        627.87460000,           .00000349,        871.06764911
        628.87440000,           .00000348,        872.45469906
        629.87420000,           .00000347,        873.84174902
        630.87400000,           .00000346,        875.22879897
        631.87380000,           .00000345,        876.61584893
        632.87360000,           .00000344,        878.00289888
        633.87340000,           .00000343,        879.38994884
        634.87320000,           .00000342,        880.77699879
        635.87300000,           .00000340,        882.16404874
        636.87280000,           .00000339,        883.55109870
        637.87260000,           .00000338,        884.93814865
        638.87240000,           .00000337,        886.32519861
        639.87220000,           .00000336,        887.71224856
        640.87200000,           .00000335,        889.09929852
        641.87180000,           .00000334,        890.48634847
        642.87160000,           .00000333,        891.87339843
        643.87140000,           .00000332,        893.26044838
        644.87120000,           .00000331,        894.64749834
        645.87100000,           .00000330,        896.03454829
        646.87080000,           .00000329,        897.42159825
        647.87060000,           .00000328,        898.80864820
        648.87040000,           .00000327,        900.19569816
        649.87020000,           .00000326,        901.58274811
        650.87000000,           .00000325,        902.96979807
        651.86980000,           .00000324,        904.35684802
        652.86960000,           .00000323,        905.74389798
        653.86940000,           .00000322,        907.13094793
        654.86920000,           .00000321,        908.51799789
        655.86900000,           .00000320,        909.90504784
        656.86880000,           .00000319,        911.29209780
        657.86860000,           .00000318,        912.67914775
        658.86840000,           .00000317,        914.06619771
        659.86820000,           .00000316,        915.45324766
        660.86800000,           .00000315,        916.84029762
        661.86780000,           .00000314,        918.22734757
        662.86760000,           .00000313,        919.61439753
        663.86740000,           .00000312,        921.00144748
        664.86720000,           .00000311,        922.38849744
        665.86700000,           .00000310,        923.77554739
        666.86680000,           .00000310,        925.16259734
        667.86660000,           .00000309,        926.54964730
        668.86640000,           .00000308,        927.93669725
        669.86620000,           .00000307,        929.32374721
        670.86600000,           .00000306,        930.71079716
        671.86580000,           .00000305,        932.09784712
        672.86560000,           .00000304,        933.48489707
        673.86540000,           .00000303,        934.87194703
        674.86520000,           .00000302,        936.25899698
        675.86500000,           .00000301,        937.64604694
        676.86480000,           .00000300,        939.03309689
        677.86460000,           .00000300,        940.42014685
        678.86440000,           .00000299,        941.80719680
        679.86420000,           .00000298,        943.19424676
        680.86400000,           .00000297,        944.58129671
        681.86380000,           .00000296,        945.96834667
        682.86360000,           .00000295,        947.35539662
        683.86340000,           .00000294,        948.74244658
        684.86320000,           .00000294,        950.12949653
        685.86300000,           .00000293,        951.51654649
        686.86280000,           .00000292,        952.90359644
        687.86260000,           .00000291,        954.29064640
        688.86240000,           .00000290,        955.67769635
        689.86220000,           .00000289,        957.06474631
        690.86200000,           .00000288,        958.45179626
        691.86180000,           .00000288,        959.83884622
        692.86160000,           .00000287,        961.22589617
        693.86140000,           .00000286,        962.61294613
        694.86120000,           .00000285,        963.99999608
        695.86100000,           .00000284,        965.38704604
